"address_line1","city","postcode","profile_link","restaurant_name","state"
"2822 N Henderson Avenue","Dallas","75206","https://www.opentable.com/r/the-charlotte-dallas","The Charlotte","TX"
"8416 Preston Center Plaza","Dallas","75225","https://www.opentable.com/r/il-bracco-park-cities-dallas","il Bracco - Park Cities","TX"
"4217 Oak Lawn","Dallas","75219","https://www.opentable.com/r/al-biernats-oak-lawn-dallas-2","Al Biernat's - Oak Lawn","TX"
"600 N. Akard St","Dallas","75201","https://www.opentable.com/r/dakotas-steakhouse-downtown-dallas","Dakota’s Steakhouse- Downtown Dallas","TX"
"5959 Royal Ln 515","Dallas","75230","https://www.opentable.com/r/bobbies-airway-grill-dallas","Bobbie's Airway Grill","TX"
"1201 Turtle Creek Blvd","Dallas","75207-6613","https://www.opentable.com/r/evelyn-dallas","EVELYN","TX"
"1401 Turtle Creek Blvd","Dallas","75207-3303","https://www.opentable.com/r/the-mexican-dallas","The Mexican","TX"
"2100 Olive Street","Dallas","75201","https://www.opentable.com/r/perrys-steakhouse-and-grille-park-district-dallas","Perry's Steakhouse & Grille - Park District","TX"
"11700 Preston Rd ste 800","Dallas","75230","https://www.opentable.com/r/hudson-house-preston-forest-dallas","Hudson House - Preston Forest","TX"
"2817 Maple Ave","Dallas","75201","https://www.opentable.com/uchi-dallas","Uchi Dallas","TX"
"6833 Snider Plaza","Dallas","75205-1330","https://www.opentable.com/r/jack-and-harrys-dallas","Jack & Harry's","TX"
"3133 Knox St","Dallas","75205-4029","https://www.opentable.com/r/rh-rooftop-restaurant-at-rh-dallas","RH Rooftop Restaurant at RH Dallas","TX"
"7713 Inwood Rd.","Dallas","75209","https://www.opentable.com/r/shinsei-restaurant-dallas","Shinsei Restaurant","TX"
"4448 Lovers Lane","Dallas","75225","https://www.opentable.com/r/hudson-house-dallas","Hudson House - Lovers Lane","TX"
"4300 Lemmon Ave .","Dallas","75219","https://www.opentable.com/bobs-steak-and-chop-house-dallas-on-lemmon-avenue","Bob's Steak & Chop House - Dallas on Lemmon Avenue","TX"
"2575 McKinnon St","Dallas","75201-1511","https://www.opentable.com/r/stillwells-dallas","Stillwell's","TX"
"5625 Smu Blvd","Dallas","75206","https://www.opentable.com/r/oishii-smu-dallas","Oishii-SMU","TX"
"2817 Maple Ave","Dallas","75201","https://www.opentable.com/r/uchiba-dallas","Uchiba Dallas","TX"
"4040 Abrams Rd","Dallas","75214-2605","https://www.opentable.com/r/hudson-house-lakewood-dallas","Hudson House - Lakewood","TX"
"3008 Maple Avenue","Dallas","75201","https://www.opentable.com/nick-and-sams-steakhouse","Nick & Sam's Steakhouse","TX"
"5757 W Lovers Ln","Dallas","75209","https://www.opentable.com/r/nikki-greek-bistro-and-lounge-dallas-2","Nikki Greek Bistro & Lounge","TX"
"2525 Wycliff Ave","Dallas","75219-2574","https://www.opentable.com/r/oishii-sushi-dallas","Oishii Sushi","TX"
"87 Highland Park Village","Dallas","75205","https://www.opentable.com/r/bistro-31-dallas","Bistro 31","TX"
"1617 Hi Line Dr","Dallas","75207","https://www.opentable.com/r/carbone-dallas","Carbone - Dallas","TX"
"8220 Westchester Dr","Dallas","75225","https://www.opentable.com/montlake-cut","Montlake Cut","TX"
"10720 Preston Rd","Dallas","75230","https://www.opentable.com/r/d-l-macks-preston-hollow-dallas","D.L. Mack's - Preston Hollow","TX"
"2330 Flora St","Dallas","75201","https://www.opentable.com/r/la-stella-cucina-verace-dallas","La Stella Cucina Verace","TX"
"3229 Knox St","Dallas","75205-4031","https://www.opentable.com/r/mister-charles-dallas","Mister Charles","TX"
"5007 W Lovers Ln","Dallas","75209-3141","https://www.opentable.com/r/drakes-dallas","Drake's Hollywood - Dallas","TX"
"8687 N Central Expy","Dallas","75225-4427","https://www.opentable.com/r/lapizza-and-lapasta-eataly-dallas","La Pizza & La Pasta - Eataly Dallas","TX"
"2101 Cedar Springs Road","Dallas","75201","https://www.opentable.com/ocean-prime-dallas","Ocean Prime - Dallas","TX"
"6726 Shady Brook Ln","Dallas","75231-6508","https://www.opentable.com/r/steakyard-dallas","Steakyard","TX"
"5200 W Lovers Ln","Dallas","75209-3334","https://www.opentable.com/r/lovers-seafood-and-market-dallas","Lovers Seafood And Market","TX"
"6501 Hillcrest Ave","Dallas","75205-1839","https://www.opentable.com/r/d-l-macks-hillcrest-dallas","D.L. Mack's - Hillcrest","TX"
"5001 Belt Line Road","Addison","75254","https://www.opentable.com/ida-claire","Ida Claire","TX"
"24 Highland Park Village","Dallas","75205","https://www.opentable.com/cafe-pacific","Cafe Pacific","TX"
"3005 Maple Ave","Dallas","75201","https://www.opentable.com/r/catch-dallas","Catch Dallas","TX"
"300 Reunion Blvd E","Dallas","75207-4409","https://www.opentable.com/r/crown-block-dallas","Crown Block","TX"
"11700 Preston Rd suite 650","Dallas","75230-6112","https://www.opentable.com/r/oishii-preston-forest-dallas","Oishii - Preston Forest","TX"
"1933 Elm St","Dallas","75201","https://www.opentable.com/r/kitchen-and-kocktails-by-kevin-kelley-dallas","Kitchen + Kocktails by Kevin Kelley - Dallas","TX"
"3130 Knox St","Dallas","75205-4030","https://www.opentable.com/r/anchor-sushi-bar-knox-street-dallas","Anchor Sushi Bar - Knox Street","TX"
"4511 McKinney Ave","Dallas","75205-4213","https://www.opentable.com/r/mar-y-sol-dallas","Mar Y Sol","TX"
"3314 Knox St","Dallas","75205","https://www.opentable.com/r/toulouse-knox-street-dallas-dallas","Toulouse - Knox Street (Dallas)","TX"
"5251 Spring Valley Road","Dallas","75254","https://www.opentable.com/r/al-biernats-north-dallas","Al Biernat's - North Dallas","TX"
"8687 N Central Expy","Dallas","75225-4427","https://www.opentable.com/r/terra-eataly-dallas","Terra - Eataly Dallas","TX"
"The Ritz-Carlton, Dallas","Dallas","75201","https://www.opentable.com/fearings","Fearing's","TX"
"8201 Preston Road","Dallas","75225","https://www.opentable.com/sevys-grill","Sevy's Grill","TX"
"1617 Market Ctr Boulevard","Dallas","75207","https://www.opentable.com/r/town-hearth-dallas","Town Hearth","TX"
"2808 Greenville Ave","Dallas","75206-6239","https://www.opentable.com/r/sister-dallas","Sister","TX"
"6047 Lewis St","Dallas","75206","https://www.opentable.com/r/mot-hai-ba-lakewood-dallas","Mot Hai Ba - Lakewood","TX"
"8416 Preston Center Plaza","Dallas","75225","https://www.opentable.com/r/il-bracco-park-cities-dallas","il Bracco - Park Cities","TX"
"4448 Lovers Lane","Dallas","75225","https://www.opentable.com/r/hudson-house-dallas","Hudson House - Lovers Lane","TX"
"5007 W Lovers Ln","Dallas","75209-3141","https://www.opentable.com/r/drakes-dallas","Drake's Hollywood - Dallas","TX"
"4217 Oak Lawn","Dallas","75219","https://www.opentable.com/r/al-biernats-oak-lawn-dallas-2","Al Biernat's - Oak Lawn","TX"
"3133 Knox St","Dallas","75205-4029","https://www.opentable.com/r/rh-rooftop-restaurant-at-rh-dallas","RH Rooftop Restaurant at RH Dallas","TX"
"5959 Royal Ln 515","Dallas","75230","https://www.opentable.com/r/bobbies-airway-grill-dallas","Bobbie's Airway Grill","TX"
"3229 Knox St","Dallas","75205-4031","https://www.opentable.com/r/mister-charles-dallas","Mister Charles","TX"
"11700 Preston Rd ste 800","Dallas","75230","https://www.opentable.com/r/hudson-house-preston-forest-dallas","Hudson House - Preston Forest","TX"
"7713 Inwood Rd.","Dallas","75209","https://www.opentable.com/r/shinsei-restaurant-dallas","Shinsei Restaurant","TX"
"2822 N Henderson Avenue","Dallas","75206","https://www.opentable.com/r/the-charlotte-dallas","The Charlotte","TX"
"1401 Turtle Creek Blvd","Dallas","75207-3303","https://www.opentable.com/r/the-mexican-dallas","The Mexican","TX"
"87 Highland Park Village","Dallas","75205","https://www.opentable.com/r/bistro-31-dallas","Bistro 31","TX"
"6833 Snider Plaza","Dallas","75205-1330","https://www.opentable.com/r/jack-and-harrys-dallas","Jack & Harry's","TX"
"8687 N Central Expy suite 307","Dallas","75225","https://www.opentable.com/r/joey-dallas","JOEY Dallas","TX"
"24 Highland Park Village","Dallas","75205","https://www.opentable.com/cafe-pacific","Cafe Pacific","TX"
"4931 West Lovers Lane","Dallas","75209","https://www.opentable.com/r/jose-dallas","José","TX"
"5200 W Lovers Ln","Dallas","75209-3334","https://www.opentable.com/r/lovers-seafood-and-market-dallas","Lovers Seafood And Market","TX"
"3314 Knox St","Dallas","75205","https://www.opentable.com/r/toulouse-knox-street-dallas-dallas","Toulouse - Knox Street (Dallas)","TX"
"4511 McKinney Ave","Dallas","75205-4213","https://www.opentable.com/r/mar-y-sol-dallas","Mar Y Sol","TX"
"4300 Lemmon Ave .","Dallas","75219","https://www.opentable.com/bobs-steak-and-chop-house-dallas-on-lemmon-avenue","Bob's Steak & Chop House - Dallas on Lemmon Avenue","TX"
"10477 Lombardy Ln","Dallas","75220","https://www.opentable.com/pappas-bros-steakhouse-dallas","Pappas Bros. Steakhouse","TX"
"5625 Smu Blvd","Dallas","75206","https://www.opentable.com/r/oishii-smu-dallas","Oishii-SMU","TX"
"2525 Wycliff Ave","Dallas","75219-2574","https://www.opentable.com/r/oishii-sushi-dallas","Oishii Sushi","TX"
"8220 Westchester Dr","Dallas","75225","https://www.opentable.com/montlake-cut","Montlake Cut","TX"
"8383 Preston Center Plaza","Dallas","75225","https://www.opentable.com/r/true-food-kitchen-dallas","True Food Kitchen - Dallas","TX"
"8201 Preston Road","Dallas","75225","https://www.opentable.com/sevys-grill","Sevy's Grill","TX"
"3130 Knox St","Dallas","75205-4030","https://www.opentable.com/r/anchor-sushi-bar-knox-street-dallas","Anchor Sushi Bar - Knox Street","TX"
"8687 N Central Expy","Dallas","75225-4427","https://www.opentable.com/r/lapizza-and-lapasta-eataly-dallas","La Pizza & La Pasta - Eataly Dallas","TX"
"3848 Oak Lawn Ave 210","Dallas","75219","https://www.opentable.com/r/neighborhood-services-oak-lawn-dallas","Neighborhood Services - Oak Lawn","TX"
"5560 W Lovers Ln","Dallas","75209","https://www.opentable.com/r/doughbird-dallas","Doughbird - Dallas","TX"
"5330 W Lovers Lane","Dallas","75209","https://www.opentable.com/r/mesero-inwood-village-dallas","Mesero - Inwood Village","TX"
"5027 W Lovers Ln","Dallas","75209","https://www.opentable.com/neighborhood-services","Neighborhood Services - Lovers","TX"
"6501 Hillcrest Ave","Dallas","75205-1839","https://www.opentable.com/r/d-l-macks-hillcrest-dallas","D.L. Mack's - Hillcrest","TX"
"Hilton Anatole","Dallas","75207","https://www.opentable.com/ser-steak-and-spirits","SER Steak+Spirits","TX"
"10720 Preston Rd","Dallas","75230","https://www.opentable.com/r/d-l-macks-preston-hollow-dallas","D.L. Mack's - Preston Hollow","TX"
"1 Highland Park Village","Dallas","75205","https://www.opentable.com/r/sadelles-highland-park-dallas","Sadelle's Highland Park","TX"
"5307 E Mockingbird Ln","Dallas","75206-5109","https://www.opentable.com/r/the-finch-dallas","The Finch - Dallas","TX"
"6726 Shady Brook Ln","Dallas","75231-6508","https://www.opentable.com/r/steakyard-dallas","Steakyard","TX"
"1621 Oak Lawn Ave.","Dallas","75207","https://www.opentable.com/r/meddlesome-moth-dallas","Meddlesome Moth","TX"
"6025 Royal Ln","Dallas","75230-3892","https://www.opentable.com/r/anchor-sushi-bar-preston-hollow-dallas","Anchor Sushi Bar - Preston Hollow","TX"
"11909 Preston Rd. Suite 1418","Dallas","75230","https://www.opentable.com/the-mercury","The Mercury","TX"
"8687 N Central Expy","Dallas","75225-4427","https://www.opentable.com/r/terra-eataly-dallas","Terra - Eataly Dallas","TX"
"11700 Preston Rd suite 650","Dallas","75230-6112","https://www.opentable.com/r/oishii-preston-forest-dallas","Oishii - Preston Forest","TX"
"4503 W Lovers Ln","Dallas","75209-3131","https://www.opentable.com/r/celebration-restaurant-dallas","Celebration Restaurant","TX"
"6073 Forest Lane","Dallas","75230","https://www.opentable.com/r/woodlands-american-grill-dallas","Woodlands American Grill","TX"
"2821 Turtle Creek Blvd","Dallas","75219","https://www.opentable.com/r/the-rosewood-mansion-restaurant-on-turtle-creek-dallas","The Mansion Restaurant at Rosewood Mansion on Turtle Creek","TX"
"1628 Oak Lawn Ave Ste 100","Dallas","75207-3406","https://www.opentable.com/r/delucca-pizza-and-wine-dallas","Delucca Pizza & Wine - Dallas","TX"
"4152 Cole Ave ste 106","Dallas","75204-8245","https://www.opentable.com/r/maison-chinoise-dallas","Maison Chinoise","TX"
"4438 McKinney","Dallas","75205","https://www.opentable.com/origin-kitchen-and-bar","Origin Kitchen + Bar","TX"
"12300 Inwood Rd","Dallas","75244-8010","https://www.opentable.com/r/republic-texas-tavern-dallas","Republic Texas Tavern","TX"
