"address_line1","city","postcode","profile_link","restaurant_name","social_media_link","state"
"2822 N Henderson Avenue","Dallas","75206","https://www.opentable.com/r/the-charlotte-dallas","The Charlotte","https://instagram.com/thecharlottedallas","TX"
"8416 Preston Center Plaza","Dallas","75225","https://www.opentable.com/r/il-bracco-park-cities-dallas","il Bracco - Park Cities","http://instagram.com/ilbraccoparkcities","TX"
"4217 Oak Lawn","Dallas","75219","https://www.opentable.com/r/al-biernats-oak-lawn-dallas-2","Al Biernat's - Oak Lawn","https://www.instagram.com/albiernats_oaklawn, https://www.facebook.com/albiernatsoaklawn/","TX"
"600 N. Akard St","Dallas","75201","https://www.opentable.com/r/dakotas-steakhouse-downtown-dallas","Dakota’s Steakhouse- Downtown Dallas","https://www.facebook.com/DakotasSteakhouse/, https://www.instagram.com/dakotassteakhouse/","TX"
"5959 Royal Ln 515","Dallas","75230","https://www.opentable.com/r/bobbies-airway-grill-dallas","Bobbie's Airway Grill","http://instagram.com/bobbiesairwaygrill, https://www.facebook.com/BobbiesAirwayGrill","TX"
"2100 Olive Street","Dallas","75201","https://www.opentable.com/r/perrys-steakhouse-and-grille-park-district-dallas","Perry's Steakhouse & Grille - Park District","https://www.instagram.com/perrys_steakhouse/, https://twitter.com/perrysdining, https://www.facebook.com/PerrysDiningDallas, https://www.youtube.com/@PerrysDining","TX"
"11700 Preston Rd ste 800","Dallas","75230","https://www.opentable.com/r/hudson-house-preston-forest-dallas","Hudson House - Preston Forest","https://www.instagram.com/thehudsonhouse/, https://www.facebook.com/HudsonHouseHP","TX"
"1401 Turtle Creek Blvd","Dallas","75207-3303","https://www.opentable.com/r/the-mexican-dallas","The Mexican","","TX"
"1201 Turtle Creek Blvd","Dallas","75207-6613","https://www.opentable.com/r/evelyn-dallas","EVELYN","https://www.instagram.com/theevelyndallas/","TX"
"2817 Maple Ave","Dallas","75201","https://www.opentable.com/uchi-dallas","Uchi Dallas","https://www.facebook.com/UchiDallas/, https://www.instagram.com/uchirestaurants/, https://www.linkedin.com/company/uchi-dallas","TX"
"6833 Snider Plaza","Dallas","75205-1330","https://www.opentable.com/r/jack-and-harrys-dallas","Jack & Harry's","https://www.instagram.com/jackandharrys/","TX"
"7713 Inwood Rd.","Dallas","75209","https://www.opentable.com/r/shinsei-restaurant-dallas","Shinsei Restaurant","https://www.instagram.com/shinseirestaurant, https://www.linkedin.com/in/janet-beckstein-aa483795, https://twitter.com/shinseidallas, https://www.facebook.com/ShinseiRestaurant/","TX"
"3133 Knox St","Dallas","75205-4029","https://www.opentable.com/r/rh-rooftop-restaurant-at-rh-dallas","RH Rooftop Restaurant at RH Dallas","","TX"
"2575 McKinnon St","Dallas","75201-1511","https://www.opentable.com/r/stillwells-dallas","Stillwell's","http://www.instagram.com/stillwellsdallas","TX"
"5625 Smu Blvd","Dallas","75206","https://www.opentable.com/r/oishii-smu-dallas","Oishii-SMU","https://www.instagram.com/oishiismu/, https://www.facebook.com/oishiismu/","TX"
"2817 Maple Ave","Dallas","75201","https://www.opentable.com/r/uchiba-dallas","Uchiba Dallas","https://www.facebook.com/uchibadallas/, https://www.instagram.com/uchibarestaurants/","TX"
"4040 Abrams Rd","Dallas","75214-2605","https://www.opentable.com/r/hudson-house-lakewood-dallas","Hudson House - Lakewood","https://www.instagram.com/thehudsonhouse/, https://www.facebook.com/HudsonHouseHP","TX"
"4300 Lemmon Ave .","Dallas","75219","https://www.opentable.com/bobs-steak-and-chop-house-dallas-on-lemmon-avenue","Bob's Steak & Chop House - Dallas on Lemmon Avenue","","TX"
"4448 Lovers Lane","Dallas","75225","https://www.opentable.com/r/hudson-house-dallas","Hudson House - Lovers Lane","https://www.instagram.com/thehudsonhouse/, https://www.facebook.com/HudsonHouseHP","TX"
"5757 W Lovers Ln","Dallas","75209","https://www.opentable.com/r/nikki-greek-bistro-and-lounge-dallas-2","Nikki Greek Bistro & Lounge","https://www.instagram.com/nikkibistrodallas/, https://www.facebook.com/profile.php?id=100095397676474","TX"
"2525 Wycliff Ave","Dallas","75219-2574","https://www.opentable.com/r/oishii-sushi-dallas","Oishii Sushi","https://www.facebook.com/oishiisushidallas/, https://www.instagram.com/oishiidallas/","TX"
"3008 Maple Avenue","Dallas","75201","https://www.opentable.com/nick-and-sams-steakhouse","Nick & Sam's Steakhouse","https://twitter.com/NickSamsSteak, https://www.instagram.com/nickandsams/, https://www.facebook.com/nickandsams, https://www.linkedin.com/company/nick-&-sam's","TX"
"87 Highland Park Village","Dallas","75205","https://www.opentable.com/r/bistro-31-dallas","Bistro 31","https://www.facebook.com/Bistro31Dallas, https://www.instagram.com/bistro31dallas/","TX"
"1617 Hi Line Dr","Dallas","75207","https://www.opentable.com/r/carbone-dallas","Carbone - Dallas","https://www.facebook.com/majorfoodgroup, https://www.instagram.com/majorfoodgroup","TX"
"10720 Preston Rd","Dallas","75230","https://www.opentable.com/r/d-l-macks-preston-hollow-dallas","D.L. Mack's - Preston Hollow","https://www.instagram.com/dlmacks/","TX"
"2330 Flora St","Dallas","75201","https://www.opentable.com/r/la-stella-cucina-verace-dallas","La Stella Cucina Verace","https://www.instagram.com/lastelladallas/, https://www.linkedin.com/in/la-stella-cucina-verace-b87a2b228?trk=people-guest_people_search-card, https://www.facebook.com/LaStellaDallas","TX"
"3229 Knox St","Dallas","75205-4031","https://www.opentable.com/r/mister-charles-dallas","Mister Charles","https://www.instagram.com/themistercharles/","TX"
"5007 W Lovers Ln","Dallas","75209-3141","https://www.opentable.com/r/drakes-dallas","Drake's Hollywood - Dallas","https://www.instagram.com/drakeshollywood/, https://www.facebook.com/drakesdallas/","TX"
"2101 Cedar Springs Road","Dallas","75201","https://www.opentable.com/ocean-prime-dallas","Ocean Prime - Dallas","https://www.facebook.com/OceanPrimeDallas/, https://www.instagram.com/oceanprime/","TX"
"8687 N Central Expy","Dallas","75225-4427","https://www.opentable.com/r/lapizza-and-lapasta-eataly-dallas","La Pizza & La Pasta - Eataly Dallas","","TX"
"6726 Shady Brook Ln","Dallas","75231-6508","https://www.opentable.com/r/steakyard-dallas","Steakyard","https://instagram.com/steakyarddallas","TX"
"5200 W Lovers Ln","Dallas","75209-3334","https://www.opentable.com/r/lovers-seafood-and-market-dallas","Lovers Seafood And Market","https://www.facebook.com/loversseafoodandmarket, https://www.instagram.com/loversseafoodmarket/","TX"
"6501 Hillcrest Ave","Dallas","75205-1839","https://www.opentable.com/r/d-l-macks-hillcrest-dallas","D.L. Mack's - Hillcrest","https://www.instagram.com/dlmacks/","TX"
"24 Highland Park Village","Dallas","75205","https://www.opentable.com/cafe-pacific","Cafe Pacific","https://www.linkedin.com/in/terry-c-70229012a","TX"
"3005 Maple Ave","Dallas","75201","https://www.opentable.com/r/catch-dallas","Catch Dallas","https://www.facebook.com/profile.php?id=61550227423354, https://www.instagram.com/catchrestaurants, https://www.linkedin.com/company/catch-hospitality-group/","TX"
"300 Reunion Blvd E","Dallas","75207-4409","https://www.opentable.com/r/crown-block-dallas","Crown Block","","TX"
"5001 Belt Line Road","Addison","75254","https://www.opentable.com/ida-claire","Ida Claire","https://www.facebook.com/idasouthofordinary, https://www.instagram.com/idasouthofordinary/, https://www.linkedin.com/company/ida-claire/, https://www.tiktok.com/@idasouthofordinary","TX"
"11700 Preston Rd suite 650","Dallas","75230-6112","https://www.opentable.com/r/oishii-preston-forest-dallas","Oishii - Preston Forest","","TX"
"3130 Knox St","Dallas","75205-4030","https://www.opentable.com/r/anchor-sushi-bar-knox-street-dallas","Anchor Sushi Bar - Knox Street","https://www.facebook.com/anchorsushibar, https://www.instagram.com/theanchorsushibar/","TX"
"1933 Elm St","Dallas","75201","https://www.opentable.com/r/kitchen-and-kocktails-by-kevin-kelley-dallas","Kitchen + Kocktails by Kevin Kelley - Dallas","https://www.linkedin.com/in/monae-johnson-43a350293, https://www.instagram.com/kitchenkocktailsusa/, https://www.facebook.com/kitchenkocktailsdallas, https://twitter.com/KKocktailsUSA","TX"
"4511 McKinney Ave","Dallas","75205-4213","https://www.opentable.com/r/mar-y-sol-dallas","Mar Y Sol","https://www.instagram.com/marysolcocinalatina/","TX"
"3314 Knox St","Dallas","75205","https://www.opentable.com/r/toulouse-knox-street-dallas-dallas","Toulouse - Knox Street (Dallas)","","TX"
"5251 Spring Valley Road","Dallas","75254","https://www.opentable.com/r/al-biernats-north-dallas","Al Biernat's - North Dallas","https://www.facebook.com/albiernatsnorth/, https://www.linkedin.com/in/martin-collins-242678162, https://www.instagram.com/albiernatsnorth","TX"
"The Ritz-Carlton, Dallas","Dallas","75201","https://www.opentable.com/fearings","Fearing's","https://www.instagram.com/fearingsdallas/, https://twitter.com/fearingsdallas, https://www.facebook.com/FearingsRestaurant/, https://www.linkedin.com/company/fearings-restaurant","TX"
"8687 N Central Expy","Dallas","75225-4427","https://www.opentable.com/r/terra-eataly-dallas","Terra - Eataly Dallas","https://www.instagram.com/terradallas/","TX"
"8201 Preston Road","Dallas","75225","https://www.opentable.com/sevys-grill","Sevy's Grill","https://www.linkedin.com/in/frank-gonzales-61827430, https://www.instagram.com/sevysgrill/, https://www.facebook.com/p/Sevys-Grill-100063562241295","TX"
"1617 Market Ctr Boulevard","Dallas","75207","https://www.opentable.com/r/town-hearth-dallas","Town Hearth","https://www.linkedin.com/in/april-lee-b41312176, https://www.facebook.com/townhearthdallas/, https://www.instagram.com/townhearthdallas/","TX"
"2808 Greenville Ave","Dallas","75206-6239","https://www.opentable.com/r/sister-dallas","Sister","https://www.instagram.com/sempre.sister/","TX"
"6047 Lewis St","Dallas","75206","https://www.opentable.com/r/mot-hai-ba-lakewood-dallas","Mot Hai Ba - Lakewood","https://www.linkedin.com/company/mot-hai-ba, https://www.facebook.com/mothaibadallas, https://www.instagram.com/mothaibadallas/","TX"
"8220 Westchester Dr","Dallas","75225","https://www.opentable.com/montlake-cut","Montlake Cut","https://www.instagram.com/montlakecut/","TX"
"8687 N Central Expy suite 307","Dallas","75225","https://www.opentable.com/r/joey-dallas","JOEY Dallas","https://www.instagram.com/joeyrestaurants/, https://www.facebook.com/JOEYRestaurants, https://twitter.com/joey_dallas","TX"
"4931 West Lovers Lane","Dallas","75209","https://www.opentable.com/r/jose-dallas","José","","TX"
"10477 Lombardy Ln","Dallas","75220","https://www.opentable.com/pappas-bros-steakhouse-dallas","Pappas Bros. Steakhouse","https://twitter.com/pappasbros, https://www.facebook.com/724954034206839","TX"
"8383 Preston Center Plaza","Dallas","75225","https://www.opentable.com/r/true-food-kitchen-dallas","True Food Kitchen - Dallas","https://www.tiktok.com/@livetruefood, https://www.instagram.com/livetruefood/, https://www.facebook.com/TrueFoodKitchen","TX"
"3848 Oak Lawn Ave 210","Dallas","75219","https://www.opentable.com/r/neighborhood-services-oak-lawn-dallas","Neighborhood Services - Oak Lawn","","TX"
"5560 W Lovers Ln","Dallas","75209","https://www.opentable.com/r/doughbird-dallas","Doughbird - Dallas","https://www.instagram.com/eatdoughbird/, https://www.facebook.com/eatdoughbird","TX"
"5330 W Lovers Lane","Dallas","75209","https://www.opentable.com/r/mesero-inwood-village-dallas","Mesero - Inwood Village","https://www.instagram.com/hiperole/, https://www.facebook.com/MeseroVictoryPark, https://www.tiktok.com/@meserorestaurants, https://twitter.com/MeseroDallas","TX"
"5027 W Lovers Ln","Dallas","75209","https://www.opentable.com/neighborhood-services","Neighborhood Services - Lovers","","TX"
"Hilton Anatole","Dallas","75207","https://www.opentable.com/ser-steak-and-spirits","SER Steak+Spirits","https://www.instagram.com/sersteakspirits, https://www.facebook.com/SERsteak/","TX"
"1 Highland Park Village","Dallas","75205","https://www.opentable.com/r/sadelles-highland-park-dallas","Sadelle's Highland Park","https://www.facebook.com/majorfoodgroup, https://www.instagram.com/majorfoodgroup","TX"
"5307 E Mockingbird Ln","Dallas","75206-5109","https://www.opentable.com/r/the-finch-dallas","The Finch - Dallas","https://www.facebook.com/109539082115581, https://www.instagram.com/thefinchrestaurant","TX"
"1621 Oak Lawn Ave.","Dallas","75207","https://www.opentable.com/r/meddlesome-moth-dallas","Meddlesome Moth","https://www.facebook.com/MothDallas, https://www.instagram.com/meddlesomemoth/, https://www.linkedin.com/company/meddlesome-moth","TX"
"6025 Royal Ln","Dallas","75230-3892","https://www.opentable.com/r/anchor-sushi-bar-preston-hollow-dallas","Anchor Sushi Bar - Preston Hollow","https://www.facebook.com/anchorsushibar, https://www.instagram.com/theanchorsushibar/","TX"
"11909 Preston Rd. Suite 1418","Dallas","75230","https://www.opentable.com/the-mercury","The Mercury","https://twitter.com/TheMercuryDTX, https://twitter.com/themercury_dal, https://www.facebook.com/TheMercuryInDallas, https://www.instagram.com/themercurydallas/","TX"
"4503 W Lovers Ln","Dallas","75209-3131","https://www.opentable.com/r/celebration-restaurant-dallas","Celebration Restaurant","https://www.instagram.com/celebrationrestaurant/, https://www.tiktok.com/@celebrationrestaurant, https://www.facebook.com/CelebrationRestaurant/, https://www.facebook.com/CelebrationRestaurant","TX"
"6073 Forest Lane","Dallas","75230","https://www.opentable.com/r/woodlands-american-grill-dallas","Woodlands American Grill","https://www.facebook.com/131745906861105, https://twitter.com/WoodlandsDallas, https://www.instagram.com/woodlandsamericangrill/","TX"
"2821 Turtle Creek Blvd","Dallas","75219","https://www.opentable.com/r/the-rosewood-mansion-restaurant-on-turtle-creek-dallas","The Mansion Restaurant at Rosewood Mansion on Turtle Creek","https://www.facebook.com/RosewoodMansionTurtleCreek, https://www.instagram.com/rosewoodmansionturtlecreek/","TX"
"1628 Oak Lawn Ave Ste 100","Dallas","75207-3406","https://www.opentable.com/r/delucca-pizza-and-wine-dallas","Delucca Pizza & Wine - Dallas","https://www.tiktok.com/@deluccapizza, https://www.linkedin.com/company/delucca-gaucho-pizza-wine, https://www.instagram.com/deluccagauchopizza, https://www.facebook.com/deluccagauchopizza","TX"
"4152 Cole Ave ste 106","Dallas","75204-8245","https://www.opentable.com/r/maison-chinoise-dallas","Maison Chinoise","https://www.instagram.com/maisonchinoisedallas/","TX"
"4438 McKinney","Dallas","75205","https://www.opentable.com/origin-kitchen-and-bar","Origin Kitchen + Bar","https://www.instagram.com/origindallas/, https://twitter.com/origindallas, https://www.facebook.com/originkitchenandbar","TX"
"12300 Inwood Rd","Dallas","75244-8010","https://www.opentable.com/r/republic-texas-tavern-dallas","Republic Texas Tavern","https://www.facebook.com/1924770821090072, https://twitter.com/taverntexas, https://www.facebook.com/RepublicTxTavern/, https://www.instagram.com/republicdallas/","TX"
